id_achat,id_client,date_achat,montant,produit
1,1,2025-10-03,80.41,Mouse
2,1,2024-05-26,145.28,Mouse
3,1,2025-03-09,330.44,Headphones
4,2,2025-04-30,717.45,Tablet
5,2,2025-04-25,1890.0,Laptop
6,2,2024-09-19,124.27,Keyboard
7,2,2024-01-03,911.4,Phone
8,2,2024-10-07,433.02,Speaker
9,3,2025-02-25,414.52,Monitor
10,3,2025-01-08,116.31,Speaker
11,3,2024-04-07,22.84,Mouse
12,3,2024-12-17,335.85,Headphones
13,4,2023-09-19,188.18,Keyboard
14,4,2023-10-21,17.46,Mouse
15,4,2024-10-01,218.28,Speaker
16,4,2024-04-11,149.23,Mouse
17,4,2023-01-24,68.17,Keyboard
18,4,2025-04-25,188.24,Keyboard
19,4,2024-06-20,164.53,Keyboard
20,4,2025-01-08,174.9,Tablet
21,4,2025-11-03,220.98,Webcam
22,5,2023-10-13,199.99,Webcam
23,5,2025-12-15,219.0,Phone
24,5,2023-06-20,342.24,Headphones
25,5,2024-09-05,473.1,Speaker
26,5,2025-07-08,59.86,Charger
27,5,2025-10-29,976.17,Phone
28,5,2024-10-29,155.4,Headphones
29,6,2024-10-29,1205.35,Laptop
30,6,2024-10-17,53.85,Charger
31,6,2023-11-08,1036.69,Phone
32,6,2025-10-03,195.15,Webcam
33,6,2023-03-05,1874.32,Laptop
34,6,2025-09-06,35.56,Charger
35,6,2024-01-02,339.33,Tablet
36,7,2023-08-22,50.41,Charger
37,7,2025-08-23,723.48,Phone
38,7,2025-09-08,41.51,Keyboard
39,7,2025-03-10,294.84,Speaker
40,7,2023-05-24,299.37,Speaker
41,7,2025-08-07,132.27,Mouse
42,7,2025-06-23,1880.64,Laptop
43,8,2024-10-15,73.12,Keyboard
44,8,2023-02-23,1407.06,Laptop
45,8,2024-06-06,544.8,Phone
46,8,2025-08-23,971.5,Phone
47,8,2024-02-11,52.68,Keyboard
48,9,2023-10-04,689.75,Tablet
49,9,2025-06-21,295.01,Webcam
50,9,2025-09-16,204.25,Webcam
51,10,2025-01-21,191.02,Tablet
52,10,2025-12-17,49.62,Webcam
53,10,2023-06-09,65.33,Headphones
54,10,2024-08-16,360.03,Headphones
55,10,2023-02-23,188.67,Keyboard
56,10,2025-08-10,229.2,Speaker
57,11,2025-10-31,2080.59,Laptop
58,11,2024-09-14,150.14,Headphones
59,11,2025-05-25,2271.86,Laptop
60,11,2025-03-23,76.45,Keyboard
61,11,2023-11-14,104.28,Keyboard
62,11,2023-09-26,114.06,Mouse
63,12,2024-12-30,57.47,Mouse
64,12,2024-08-14,472.53,Tablet
65,13,2024-01-25,170.02,Speaker
66,14,2023-10-18,927.08,Phone
67,14,2025-01-21,630.61,Phone
68,14,2023-11-25,504.56,Tablet
69,14,2024-06-03,47.44,Keyboard
70,14,2023-08-13,142.36,Keyboard
71,15,2024-04-18,33.33,Mouse
72,15,2023-04-29,131.4,Webcam
73,15,2023-03-07,2035.58,Laptop
74,16,2023-12-06,134.52,Keyboard
75,16,2025-07-04,48.44,Mouse
76,16,2025-01-04,927.57,Laptop
77,16,2025-01-01,60.86,Mouse
78,16,2024-02-03,769.31,Tablet
79,16,2025-12-16,701.64,Tablet
80,16,2025-08-13,49.05,Webcam
81,16,2024-12-08,436.0,Phone
82,17,2024-01-29,17.75,Charger
83,17,2023-10-20,591.39,Tablet
84,17,2025-01-04,93.24,Keyboard
85,18,2025-03-06,773.92,Phone
86,18,2025-10-11,215.13,Speaker
87,18,2023-07-10,140.43,Keyboard
88,19,2025-08-14,474.38,Tablet
89,19,2024-06-16,137.9,Mouse
90,19,2023-09-23,461.78,Phone
91,19,2024-02-03,592.83,Monitor
92,19,2025-01-06,398.73,Headphones
93,20,2023-05-07,585.79,Monitor
94,20,2023-01-29,92.05,Webcam
95,20,2023-03-10,704.34,Tablet
96,20,2025-12-13,84.89,Webcam
97,20,2025-12-05,299.29,Webcam
98,20,2024-10-11,143.53,Keyboard
99,21,2025-04-05,723.93,Monitor
100,21,2025-01-18,612.68,Tablet
101,21,2024-09-08,665.9,Tablet
102,21,2023-05-08,150.91,Speaker
103,22,2024-10-27,327.22,Headphones
104,23,2024-02-26,124.18,Keyboard
105,23,2025-05-02,109.46,Keyboard
106,23,2023-07-25,108.4,Speaker
107,23,2025-08-18,265.75,Phone
108,23,2025-10-20,149.94,Mouse
109,24,2025-04-27,176.68,Webcam
110,24,2023-02-24,125.27,Mouse
111,24,2024-11-30,325.33,Phone
112,24,2025-02-03,139.2,Keyboard
113,24,2023-04-21,161.12,Webcam
